[-0.60562908 -0.49515815 -0.29722529  0.54743854],[-0.62521568  0.18252326 -0.50233565 -0.56872622],[-0.40494503  0.07689535  0.10401588  0.90514492],[ 0.23794866  0.76750113 -0.33675303 -0.49083586],[ 0.2006291   0.00442036 -0.02157898 -0.97941961],[-1.34394122e-01 -4.43208243e-08  1.42272450e-07  9.90927959e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.31096002  0.01379887  0.21546666 -0.92557419],[ 0.12285612  0.00817309 -0.0658736  -0.99020212],[-8.22242859e-02 -2.70396187e-09  3.06939348e-08  9.96613850e-01],[-7.32223200e-11  4.37581260e-09  2.97672731e-09  1.00000000e+00],[ 0.60463395 -0.04170819  0.07884717 -0.79149311],[ 0.25519483  0.00700597 -0.02653358 -0.96650012],[-1.71461237e-01 -2.79505789e-08  9.87156667e-08  9.85190867e-01],[-0.02281757  0.02156312 -0.14976098  0.98822368],[ 0.68657183 -0.02916709 -0.05197129 -0.72461533],[ 0.70298782 -0.05382981  0.05414406 -0.70709186],[-5.03711804e-01  4.73912304e-08 -4.03580035e-08  8.63871760e-01],[-0.04721577  0.0415961  -0.29730416  0.95270702],[ 0.68042832 -0.04507595 -0.14550881 -0.71680726],[ 0.62384917 -0.05550178  0.06908293 -0.77650455],[-4.39632117e-01 -3.98399480e-08  3.94702384e-08  8.98177934e-01]
[-0.60562908 -0.49515815 -0.29722529  0.54743854],[-0.62521568  0.18252326 -0.50233565 -0.56872622],[-0.40494503  0.07689535  0.10401588  0.90514492],[ 0.23794866  0.76750113 -0.33675303 -0.49083586],[ 0.2006291   0.00442036 -0.02157898 -0.97941961],[-1.34394122e-01 -4.43208243e-08  1.42272450e-07  9.90927959e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.31096002  0.01379887  0.21546666 -0.92557419],[ 0.12285612  0.00817309 -0.0658736  -0.99020212],[-8.22242859e-02 -2.70396187e-09  3.06939348e-08  9.96613850e-01],[-7.32223200e-11  4.37581260e-09  2.97672731e-09  1.00000000e+00],[ 0.60463395 -0.04170819  0.07884717 -0.79149311],[ 0.25519483  0.00700597 -0.02653358 -0.96650012],[-1.71461237e-01 -2.79505789e-08  9.87156667e-08  9.85190867e-01],[-0.02281757  0.02156312 -0.14976098  0.98822368],[ 0.68657183 -0.02916709 -0.05197129 -0.72461533],[ 0.70298782 -0.05382981  0.05414406 -0.70709186],[-5.03711804e-01  4.73912304e-08 -4.03580035e-08  8.63871760e-01],[-0.04721577  0.0415961  -0.29730416  0.95270702],[ 0.68042832 -0.04507595 -0.14550881 -0.71680726],[ 0.62384917 -0.05550178  0.06908293 -0.77650455],[-4.39632117e-01 -3.98399480e-08  3.94702384e-08  8.98177934e-01]
[-0.60526666 -0.49556152 -0.29721525  0.54747981],[-0.62466149  0.18138921 -0.50205924 -0.56994078],[-0.40372954  0.07740374  0.10492432  0.90553962],[ 0.23499638  0.76622947 -0.3379522  -0.49341404],[ 0.20411853  0.00492742 -0.02362425 -0.97864868],[-1.36760436e-01 -5.57560710e-08  2.16005145e-07  9.90604151e-01],[ 0.00162796 -0.01078593  0.14923577  0.98874147],[ 0.31299949  0.0135756   0.21649156 -0.92465043],[ 0.12151184  0.00819804 -0.06681313 -0.99030484],[-8.13267097e-02  6.75731824e-09 -1.76804312e-08  9.96687497e-01],[-1.45944479e-10  4.26359000e-09  2.91905478e-09  1.00000000e+00],[ 0.60444436 -0.04309591  0.07709993 -0.79173566],[ 0.25552207  0.00642403 -0.02429813 -0.96647649],[-1.71673847e-01 -2.96550123e-08  9.39356788e-08  9.85153841e-01],[-0.02281756  0.02156313 -0.14976099  0.98822368],[ 0.68919098 -0.02659121 -0.04805138 -0.72249552],[ 0.70105726 -0.05076338  0.05137033 -0.70943843],[-5.01900391e-01  2.27292456e-08 -4.27353434e-08  8.64925429e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.68159809 -0.04537199 -0.14464626 -0.71585116],[ 0.62248182 -0.05548475  0.06930957 -0.77758215],[-4.38556943e-01  5.61617102e-08 -6.06456006e-08  8.98703403e-01]
[-0.60526666 -0.49556152 -0.29721525  0.54747981],[-0.62466149  0.18138921 -0.50205924 -0.56994078],[-0.40372954  0.07740374  0.10492432  0.90553962],[ 0.23499638  0.76622947 -0.3379522  -0.49341404],[ 0.20411853  0.00492742 -0.02362425 -0.97864868],[-1.36760436e-01 -5.57560710e-08  2.16005145e-07  9.90604151e-01],[ 0.00162796 -0.01078593  0.14923577  0.98874147],[ 0.31299949  0.0135756   0.21649156 -0.92465043],[ 0.12151184  0.00819804 -0.06681313 -0.99030484],[-8.13267097e-02  6.75731824e-09 -1.76804312e-08  9.96687497e-01],[-1.45944479e-10  4.26359000e-09  2.91905478e-09  1.00000000e+00],[ 0.60444436 -0.04309591  0.07709993 -0.79173566],[ 0.25552207  0.00642403 -0.02429813 -0.96647649],[-1.71673847e-01 -2.96550123e-08  9.39356788e-08  9.85153841e-01],[-0.02281756  0.02156313 -0.14976099  0.98822368],[ 0.68919098 -0.02659121 -0.04805138 -0.72249552],[ 0.70105726 -0.05076338  0.05137033 -0.70943843],[-5.01900391e-01  2.27292456e-08 -4.27353434e-08  8.64925429e-01],[-0.04721578  0.04159609 -0.29730417  0.95270702],[ 0.68159809 -0.04537199 -0.14464626 -0.71585116],[ 0.62248182 -0.05548475  0.06930957 -0.77758215],[-4.38556943e-01  5.61617102e-08 -6.06456006e-08  8.98703403e-01]
[-0.60517488 -0.4957292  -0.29745318  0.54730022],[-0.62332222  0.18178    -0.50221674 -0.57114253],[-0.40375578  0.07742403  0.1048864   0.90553058],[ 0.23468077  0.76620393 -0.33792711 -0.49362106],[ 0.20377589  0.00488375 -0.02345553 -0.97872436],[-1.36528090e-01 -8.46456500e-08  2.48626378e-07  9.90636200e-01],[ 0.00162798 -0.01078592  0.14923578  0.98874147],[ 0.31542879  0.01184832  0.21604594 -0.92395262],[ 0.12006102  0.00778447 -0.06423201 -0.99065585],[-8.03385428e-02 -6.39763623e-09  8.42963030e-08  9.96767635e-01],[ 2.44076815e-09  2.25164390e-09 -1.71145819e-09  1.00000000e+00],[ 0.60389264 -0.04384646  0.07406421 -0.79240498],[ 0.25609134  0.00601572 -0.02270051 -0.96636728],[-1.72055170e-01 -4.18009413e-08  1.48371887e-07  9.85087315e-01],[-0.02281756  0.02156312 -0.14976099  0.98822368],[ 0.68643827 -0.02990006 -0.05200414 -0.72470963],[ 0.7030544  -0.0540657   0.05436832 -0.70699045],[-5.03782915e-01 -3.95987311e-09  8.35106674e-09  8.63830293e-01],[-0.04721577  0.04159609 -0.29730416  0.95270702],[ 0.68068074 -0.04789428 -0.1470604  -0.71606781],[ 0.62317412 -0.05710918  0.07118232 -0.7767404 ],[-4.39215808e-01  5.95348528e-09 -1.50229789e-08  8.98381586e-01]
[-0.60529878 -0.49566485 -0.29772608  0.54707306],[-0.62202429  0.18276004 -0.50274421 -0.57178038],[-0.40229198  0.07734081  0.1048987   0.90618752],[ 0.23776535  0.76615359 -0.33790087 -0.49223909],[ 0.20204705  0.00432329 -0.02095098 -0.97914215],[-1.35350923e-01 -8.70163869e-08  2.99795089e-07  9.90797723e-01],[ 0.00162798 -0.01078593  0.14923577  0.98874147],[ 0.30890551  0.01162126  0.2236406  -0.92435232],[ 0.12461183  0.00837215 -0.06651016 -0.98993848],[-8.34071170e-02 -1.51928024e-08  4.67210912e-08  9.96515556e-01],[-3.06926700e-11 -4.14499768e-09 -2.82437940e-09  1.00000000e+00],[ 0.60218688 -0.04174298  0.07639257 -0.79359477],[ 0.25852858  0.00692686 -0.0258724  -0.96563223],[-1.73732720e-01 -5.78370195e-08  2.40400037e-07  9.84792842e-01],[-0.02281755  0.02156311 -0.14976099  0.98822368],[ 0.6864607  -0.02834563 -0.04957456 -0.7249211 ],[ 0.70282511 -0.05185038  0.05219879 -0.70754766],[-5.03450251e-01 -2.39467223e-09  1.27116688e-09  8.64024216e-01],[-0.04721579  0.04159609 -0.29730417  0.95270702],[ 0.67902453 -0.04650784 -0.14511074 -0.71812644],[ 0.62423999 -0.05548072  0.06898647 -0.77620049],[-4.39937773e-01  1.23859377e-08 -1.61981114e-08  8.98028260e-01]
[-0.6052664  -0.49572926 -0.29782942  0.54699426],[-0.62168261  0.18320383 -0.50253712 -0.57219187],[-0.40072665  0.07738815  0.10519689  0.90684224],[ 0.23537793  0.76641686 -0.33746334 -0.49327571],[ 0.20224957  0.00476289 -0.02305594 -0.97905099],[-1.35494465e-01  4.37669436e-09 -4.23652281e-09  9.90778103e-01],[ 0.00162798 -0.01078591  0.14923578  0.98874147],[ 0.30112394  0.01059983  0.23354716 -0.92448242],[ 0.13042162  0.00889853 -0.06748687 -0.98911907],[-8.73165618e-02  8.99544404e-10 -1.46677722e-08  9.96180615e-01],[2.23310254e-09 6.39397080e-09 8.24317401e-10 1.00000000e+00],[ 0.60065273 -0.04031859  0.07490553 -0.79497162],[ 0.26079603  0.00720534 -0.02666114 -0.96499881],[-1.75284624e-01 -6.04442101e-09  1.65055063e-08  9.84517801e-01],[-0.02281752  0.02156313 -0.14976099  0.98822368],[ 0.68630179 -0.02781712 -0.04733264 -0.72524181],[ 0.70301926 -0.05067814  0.05100304 -0.70752692],[-5.03541443e-01  4.70557890e-08 -5.81968249e-08  8.63971073e-01],[-0.04721577  0.04159608 -0.29730417  0.95270702],[ 0.67960462 -0.04661145 -0.14398592 -0.71779732],[ 0.62337085 -0.05529038  0.06890945 -0.77691908],[-4.39241533e-01  1.36632688e-08 -3.03054154e-08  8.98369009e-01]
[-0.60523333 -0.49576445 -0.29782238  0.54700279],[-0.6217547   0.18318564 -0.50239284 -0.57224605],[-0.40010171  0.07664892  0.10502798  0.90720047],[ 0.23312955  0.76639894 -0.33756097 -0.49430342],[ 0.20265235  0.00509936 -0.02463304 -0.97892759],[-1.35772225e-01 -2.83949924e-09 -4.03532736e-08  9.90740078e-01],[ 0.00162798 -0.01078592  0.14923577  0.98874147],[ 0.304126    0.00936685  0.23355961 -0.92350936],[ 0.12852887  0.00854035 -0.06574836 -0.98948701],[-8.60343157e-02  4.92420119e-09 -1.05759361e-08  9.96292174e-01],[-9.52801086e-11  4.22390649e-09  2.85927914e-09  1.00000000e+00],[ 0.5993728  -0.04098369  0.06756593 -0.79655975],[ 0.26242838  0.00622107 -0.02286792 -0.96466041],[-1.76381383e-01 -6.06068593e-08  2.43497657e-07  9.84321903e-01],[-0.02281758  0.02156313 -0.14976101  0.98822367],[ 0.68578351 -0.02945021 -0.04839781 -0.72559721],[ 0.70330413 -0.05197308  0.05225059 -0.70705868],[-5.03860207e-01 -3.23303388e-09 -7.43983463e-09  8.63785212e-01],[-0.04721578  0.04159609 -0.29730416  0.95270702],[ 0.67907464 -0.04977776 -0.14855046 -0.71715589],[ 0.62352104 -0.05824394  0.07251104 -0.77625466],[-4.39570757e-01 -2.39045991e-08  1.25759409e-08  8.98207966e-01]
[-0.60505103 -0.49594319 -0.2977299   0.54709279],[-0.62169795  0.18212061 -0.50243686 -0.5726089 ],[-0.39973989  0.07623793  0.1047549   0.90742614],[ 0.23657485  0.7667442  -0.33717358 -0.49239177],[ 0.20017052  0.00446056 -0.02182685 -0.97950776],[-1.34084893e-01 -1.39203522e-08  1.31850493e-07  9.90969849e-01],[ 0.00162796 -0.01078591  0.14923577  0.98874147],[ 0.30347366  0.00807897  0.23134219 -0.92429393],[ 0.12997792  0.00821863 -0.06256731 -0.98950671],[-8.69898002e-02  4.63366301e-09 -2.77874547e-09  9.96209202e-01],[0. 0. 0. 1.],[ 0.59999939 -0.03837913  0.06688132 -0.79627549],[ 0.26164219  0.00677134 -0.02496964 -0.96481813],[-1.75854065e-01 -1.22826919e-08  4.10111289e-08  9.84416247e-01],[-0.02281753  0.02156311 -0.14976097  0.98822368],[ 0.68486572 -0.03153545 -0.0505487  -0.7262295 ],[ 0.7039593  -0.05364144  0.05380942 -0.7061646 ],[-5.04515990e-01 -4.31353691e-09  5.28578689e-09  8.63402349e-01],[-0.04721578  0.04159607 -0.29730417  0.95270702],[ 0.67860666 -0.048071   -0.14743093 -0.71794589],[ 0.62408457 -0.05682185  0.07066052 -0.77607784],[-4.39910388e-01  6.03474320e-09  1.08175597e-09  8.98041675e-01]
[-0.60491721 -0.49607163 -0.2976514   0.54716702],[-0.62177983  0.18138928 -0.50237094 -0.57280993],[-0.39956213  0.07604464  0.1047352   0.90752292],[ 0.23684783  0.76722329 -0.33681159 -0.49176162],[ 0.19998052  0.00446024 -0.02184692 -0.97954613],[-1.33956463e-01 -6.01173725e-08  3.05050698e-07  9.90987218e-01],[ 0.00162797 -0.01078593  0.14923577  0.98874147],[ 0.30579068  0.00802345  0.23194578 -0.92337903],[ 0.12840589  0.00817013 -0.06297114 -0.98968672],[-8.59359026e-02 -1.06974193e-08  5.38488381e-08  9.96300668e-01],[-2.27005721e-10  4.17407125e-09  2.91918365e-09  1.00000000e+00],[ 0.60092541 -0.03728872  0.06808648 -0.79552651],[ 0.26072835  0.00706345 -0.02614408 -0.96503229],[-1.75235814e-01  6.46640764e-09 -1.33647827e-08  9.84526490e-01],[-0.02281755  0.02156312 -0.14976099  0.98822368],[ 0.6854919  -0.03115391 -0.05040212 -0.72566515],[ 0.70345776 -0.05326153  0.0535082  -0.70671583],[-5.04070285e-01  4.64945758e-08 -6.60195381e-08  8.63662635e-01],[-0.04721579  0.04159609 -0.29730417  0.95270702],[ 0.67968121 -0.04684632 -0.14629829 -0.71724172],[ 0.62320191 -0.05599142  0.06980255 -0.77692467],[-4.39157954e-01 -2.43738053e-08  5.66743792e-09  8.98409868e-01]
